Desert,Region,Shrub,ShrubID,Year,Plot,MH,MHcode,TranSide,TranDir,TurbTrt,FireTrt,RainTrt,WintRain,SeedTrt,Include,TotCov,VegHeight,EstBiomass,NatCover,InvCover,EroCover,SchCover,BroCover,BraCover,Crust,CryCrust,SpecRich,TotDens,NatDens,InvDens,InvDensPct,Alliu,Amdu,Amte,Anla,Aster,Astra,Borag,Brru,Brto,Caca,Cacl,Chbr,Chfr,Choriz,Chri,Chst,Cimo,Cobi,Crypt,Depi,Drci,Erci,Erdi,Ergr,Eriog,EriogComb,Erni,Erpr,Erpu,Erte,Erth,Esmi,Filag,Gist,Laca,Lego,Lela,Libi,Lidi,Loca,Lotus,Lupin,Maco,Magl,Meaf,Mobe,Pecto,Phace,Phdi,Phfr,Phme,Plagi,Plov,Scar,Stlo,Unkn,Unkn11,Unkn4,Unkn5-2,UnknM,UnknM8,Vuoc,ScarSeedPlot,BrruSeedPlot,AmteSeedPlot,ErciSeedPlot,ChfrFlorPlot,ErpuSeedPlot,GistSeedPlot,LidiSeedPlot,MaglFlorPlot,MeafSeedPlot,PectoNutletPlot,LegoSeedPlot,PlovSeedPlot,LelaSeedPlot,BrtoSeedPlot,MobeSeedPlot
Mojave,Main,4,MM4,2011,2074,ON,3,W,N,Y,UB,A,148,A,Y,60,4,4.472,NA,NA,NA,NA,NA,NA,NA,NA,3,57,2,55,96.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,NA,0,0,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2073,OF,4,W,N,Y,UB,A,148,A,Y,50,3,3.229,NA,NA,NA,NA,NA,NA,NA,NA,5,65,3,62,95.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,NA,0,0,88,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2060,UC,1,E,N,Y,UB,A,148,S,Y,30,14,4.292,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,1,20.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2059,CD,2,E,N,Y,UB,A,148,S,Y,25,7,1.896,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,4,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2058,ON,3,E,N,Y,UB,A,148,S,Y,25,4,1.077,NA,NA,NA,NA,NA,NA,NA,NA,5,37,11,26,70.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,132,0,0,133,0,0,272,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2057,OF,4,E,N,Y,UB,A,148,S,Y,15,3,0.003,NA,NA,NA,NA,NA,NA,NA,NA,5,35,5,30,85.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,1700,0,0,100,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2056,UC,1,W,N,N,UB,A,148,S,Y,65,21,9.598,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,2,28.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975593022,0,25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2055,CD,2,W,N,N,UB,A,148,S,Y,40,14,5.262,NA,NA,NA,NA,NA,NA,NA,NA,5,28,9,19,67.86,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,462,0,264.07288,120,NA,0,144,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2054,ON,3,W,N,N,UB,A,148,S,Y,20,4,0.592,NA,NA,NA,NA,NA,NA,NA,NA,4,51,11,40,78.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,2990,0,0,288,0,0,280,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,6,MM6,2011,2053,OF,4,W,N,N,UB,A,148,S,Y,30,5,1.835,NA,NA,NA,NA,NA,NA,NA,NA,3,39,9,30,76.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1529,0,0,20,0,0,360,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,7,MM7,2011,2052,UC,1,E,S,Y,B,A,148,S,Y,5,2,0.001,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,7,MM7,2011,2051,CD,2,E,S,Y,B,A,148,S,Y,35,4.5,2.184,NA,NA,NA,NA,NA,NA,NA,NA,3,30,1,29,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,NA,0,0,128,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
Mojave,Main,7,MM7,2011,2050,ON,3,E,S,Y,B,A,148,S,Y,40,4.5,2.669,NA,NA,NA,NA,NA,NA,NA,NA,2,34,0,34,100.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,NA,0,0,161,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,7,MM7,2011,2049,OF,4,E,S,Y,B,A,148,S,Y,30,3,1.289,NA,NA,NA,NA,NA,NA,NA,NA,2,59,0,59,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,NA,0,0,84,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,7,MM7,2011,2048,UC,1,W,S,N,B,A,148,S,Y,30,4,1.562,NA,NA,NA,NA,NA,NA,NA,NA,4,12,3,9,75.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,0,0,54,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
